Milestone,Issue Title,Summary,Details Key Points,Acceptance Criteria,GitHub URL,Priority
**2.0 — Cohesive UI and Flow**,Reorganize parameters into 4 to 5 groups,Create clear sections so the UI feels cohesive.,"Define 4 to 5 sections only, Move sliders into correct groups (e.g., Source, Geometry, Animation, Color and Brightness, Output and View).",All sliders are grouped under a minimal number of clear headers.,[URL],High
**2.0 — Cohesive UI and Flow**,Add “Advanced” toggle to hide secondary controls,Reduce visual clutter and complexity on the default screen.,"Add toggle labeled “Advanced”, When off, hide secondary parameters, Core sliders always visible.",Default view shows only essential controls.,[URL],High
**2.0 — Cohesive UI and Flow**,Identify and label core sliders,Users mostly interact with a small number of sliders.,"Identify 6 to 10 most used sliders, Label them as “Core”, Consider a small visual indicator.",Core controls are visually distinct and easy to find.,[URL],Medium
**2.0 — Cohesive UI and Flow**,Add Reset button to main UI,Reset is currently only in a menu.,"Add button near the slider area, One-click reset to default values.",User can reset without opening menus.,[URL],Medium
**2.0 — Cohesive UI and Flow**,Fullscreen toggle and keyboard shortcut,Fullscreen is a common activity.,"Add toggle to UI, Add keyboard shortcut (ex: F or Alt Enter), Fullscreen hides UI.",User can enter and exit fullscreen easily.,[URL],High
**2.1 — Presets and Autosave**,Implement simple preset format (JSON),Allow saving and loading of settings.,"Save current UI state as JSON, Load JSON to restore settings, Store files in a presets directory.","Presets can be saved, loaded, and deleted.",[URL],High
**2.1 — Presets and Autosave**,Preset manager UI,Simple UI for preset selection.,"List existing presets, Buttons: Save, Load, Delete, Minimal styling.",User can manage presets from within the app.,[URL],High
**2.1 — Presets and Autosave**,Autosave last state on exit,Restore state automatically when app restarts.,"Save state before exit, Load state on startup.",The app opens with the previous settings intact.,[URL],High
**2.1 — Presets and Autosave**,Bundle 8 to 12 presets,Demonstrate possible uses of the app.,"Include built-in presets (e.g., Soft Mirror, Portal Tunnel, Dream Blur, VHS Ghost, Kaleido Bloom).",App ships with a set of sample presets.,[URL],Medium
**2.2 — Output Mode and Screensaver**,Add Screensaver / Ambient mode,Hide UI after inactivity or on command.,"Trigger after X seconds, Or menu: “Start Ambient Mode”, UI fades out.",App can run as an ambient visual on a monitor.,[URL],Medium
**2.2 — Output Mode and Screensaver**,Preset slideshow with timing,Cycle through presets automatically.,"Time slider for duration, Crossfade if possible, Loop through presets.",App cycles between presets hands-free.,[URL],Medium
**2.2 — Output Mode and Screensaver**,Monitor selection for fullscreen,Choose which display to use for output.,"Detect displays, Dropdown to select, Fullscreen renders on that display.",User can direct output to any connected monitor.,[URL],Low
**2.3 — Branding and Visual Identity**,Explore new app name,Original name was a placeholder.,"Brainstorm 10 to 20 name options, Evaluate vibe and availability, Select one.",App has a new name direction.,[URL],High
**2.3 — Branding and Visual Identity**,Create logo and splash screen,Establish visual identity.,"Draw or design a logo, Use during startup and in UI.",App has a branded logo and splash.,[URL],Medium
**2.3 — Branding and Visual Identity**,App icon for Windows build,Professional app experience.,"Create .ico file, Bundle into build.",Taskbar and installer show custom icon.,[URL],Low
**2.3 — Branding and Visual Identity**,Dark theme pass with consistent styling,Cohesive visual look.,"Align colors, fonts, UI elements, Hover and active states.",UI feels polished and intentional.,[URL],High
**2.4 — Asset Export**,Export current frame to PNG,Allow saving still images.,"Button: “Save Frame”, Save PNG to exports folder.",User can export screen stills.,[URL],High
**2.4 — Asset Export**,High resolution export mode,Better for print and textiles.,"Render a frame at 2x or 4x resolution, Save PNG.",User can export high-quality stills.,[URL],Medium
**2.5 — Performance and Transition Smoothing**,Add easing to snapshot transitions,Reduce visual jumps.,"Tween parameters over 250 to 1000 ms, Try easing functions.",Transitions feel smooth.,[URL],Medium
**2.5 — Performance and Transition Smoothing**,Performance scaling option,Small safety valve.,"Low, Medium, High, Adjust internal resolution.",Option available if needed.,[URL],Low